n_nodes,n_clusters,pure_nodes_number,rho,seed,method,matrix,error
1000,3,3,0.7,1,SPOC_bootstrap,B,0.524268411991
1000,3,3,0.7,1,SPOC,Theta,0.102573679696
1000,3,3,0.7,1,SPOC,B,0.253135897001
1000,3,3,0.7,1,GeoNMF,Theta,0.0740943709757
1000,3,3,0.7,1,GeoNMF,B,0.547176964615
1000,3,3,0.7,2,SPOC_bootstrap,Theta,0.0735739752052
1000,3,3,0.7,2,SPOC_bootstrap,B,0.571724158264
1000,3,3,0.7,2,SPOC,Theta,0.092569105994
1000,3,3,0.7,2,SPOC,B,0.279842563184
1000,3,3,0.7,2,GeoNMF,Theta,0.0676879539277
1000,3,3,0.7,2,GeoNMF,B,0.563639193264
1000,3,3,0.7,3,SPOC_bootstrap,Theta,0.0734528924179
1000,3,3,0.7,3,SPOC_bootstrap,B,0.570335740489
1000,3,3,0.7,3,SPOC,Theta,0.0914236227388
1000,3,3,0.7,3,SPOC,B,0.279537391043
1000,3,3,0.7,3,GeoNMF,Theta,0.0688568982915
1000,3,3,0.7,3,GeoNMF,B,0.573470693233
1000,3,3,0.7,4,SPOC_bootstrap,Theta,0.0763879510678
1000,3,3,0.7,4,SPOC_bootstrap,B,0.55404187892
1000,3,3,0.7,4,SPOC,Theta,0.0943662417808
1000,3,3,0.7,4,SPOC,B,0.301889843427
1000,3,3,0.7,4,GeoNMF,Theta,0.0831864948103
1000,3,3,0.7,4,GeoNMF,B,0.537675029314
1000,3,3,0.7,5,SPOC_bootstrap,Theta,0.0734796117572
1000,3,3,0.7,5,SPOC_bootstrap,B,0.57510753947
1000,3,3,0.7,5,SPOC,Theta,0.0926005022112
1000,3,3,0.7,5,SPOC,B,0.299499333195
1000,3,3,0.7,5,GeoNMF,Theta,0.072893793597
1000,3,3,0.7,5,GeoNMF,B,0.575909581021
1000,3,3,0.7,6,SPOC_bootstrap,Theta,0.0807271693887
1000,3,3,0.7,6,SPOC_bootstrap,B,0.468786464991
1000,3,3,0.7,6,SPOC,Theta,0.0991678838481
1000,3,3,0.7,6,SPOC,B,0.283106558335
1000,3,3,0.7,6,GeoNMF,Theta,0.0759923062964
1000,3,3,0.7,6,GeoNMF,B,0.538635262084
1000,3,3,0.7,7,SPOC_bootstrap,Theta,0.0680369497251
1000,3,3,0.7,7,SPOC_bootstrap,B,0.572852286048
1000,3,3,0.7,7,SPOC,Theta,0.0977967742157
1000,3,3,0.7,7,SPOC,B,0.265037070862
1000,3,3,0.7,7,GeoNMF,Theta,0.0711948133228
1000,3,3,0.7,7,GeoNMF,B,0.56582118316
1000,3,3,0.7,8,SPOC_bootstrap,Theta,0.0765156821249
1000,3,3,0.7,8,SPOC_bootstrap,B,0.557214514283
1000,3,3,0.7,8,SPOC,Theta,0.0992942835168
1000,3,3,0.7,8,SPOC,B,0.271413629184
1000,3,3,0.7,8,GeoNMF,Theta,0.0770506498916
1000,3,3,0.7,8,GeoNMF,B,0.52089499395
1000,3,3,0.7,9,SPOC_bootstrap,Theta,0.0782810679879
1000,3,3,0.7,9,SPOC_bootstrap,B,0.538358790044
1000,3,3,0.7,9,SPOC,Theta,0.105105457874
1000,3,3,0.7,9,SPOC,B,0.257602212675
1000,3,3,0.7,9,GeoNMF,Theta,0.0746314143593
1000,3,3,0.7,9,GeoNMF,B,0.510870991872
1000,3,3,0.8,0,SPOC_bootstrap,Theta,0.0705057591526
1000,3,3,0.8,0,SPOC_bootstrap,B,0.403624688397
1000,3,3,0.8,0,SPOC,Theta,0.0834147494078
1000,3,3,0.8,0,SPOC,B,0.155002922599
1000,3,3,0.8,0,GeoNMF,Theta,0.0652495452795
1000,3,3,0.8,0,GeoNMF,B,0.413697491223
1000,3,3,0.8,1,SPOC_bootstrap,Theta,0.0658293333201
1000,3,3,0.8,1,SPOC_bootstrap,B,0.305327190164
1000,3,3,0.8,1,SPOC,Theta,0.090548946422
1000,3,3,0.8,1,SPOC,B,0.0880891419418
1000,3,3,0.8,1,GeoNMF,Theta,0.0631781381699
1000,3,3,0.8,1,GeoNMF,B,0.378956538112
1000,3,3,0.8,2,SPOC_bootstrap,Theta,0.0638482274244
1000,3,3,0.8,2,SPOC_bootstrap,B,0.383952113806
1000,3,3,0.8,2,SPOC,Theta,0.0872962331388
1000,3,3,0.8,2,SPOC,B,0.0838601209375
1000,3,3,0.8,2,GeoNMF,Theta,0.0696250139755
1000,3,3,0.8,2,GeoNMF,B,0.40212760096
1000,3,3,0.8,3,SPOC_bootstrap,Theta,0.0641210414447
1000,3,3,0.8,3,SPOC_bootstrap,B,0.383669621568
1000,3,3,0.8,3,SPOC,Theta,0.0845242135372
1000,3,3,0.8,3,SPOC,B,0.12548283599
1000,3,3,0.8,3,GeoNMF,Theta,0.0575278057428
1000,3,3,0.8,3,GeoNMF,B,0.40402929185
1000,3,3,0.8,4,SPOC_bootstrap,Theta,0.0697589616544
1000,3,3,0.8,4,SPOC_bootstrap,B,0.416609177908
